label,text
ham,Sorry completely forgot * will pop em round this week if your still here?
ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic
ham,"Sir, i am waiting for your call."
ham,Can you pls send me that company name. In saibaba colany
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
ham,Probably earlier than that if the station's where I think it is
spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
ham,"Hmph. Go head, big baller."
ham,"So check your errors and if you had difficulties, do correction."
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.
ham,Same. Wana plan a trip sometme then
ham,Love it! The girls at the office may wonder why you are smiling but sore...
ham,Just curious because my cuz asked what I was up to
ham,No probably  &lt;#&gt; %.
ham,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
spam,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer"
ham,I need... Coz i never go before 
spam,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP
ham,"Just making dinner, you ?"
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
spam,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
ham,Are you willing to go for apps class.
ham,No break time one... How... I come out n get my stuff fr ü?
ham,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
ham,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,"""ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX"""
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
ham,Waiting in e car 4 my mum lor. U leh? Reach home already?
ham,Lol. Well quality aint bad at all so i aint complaining
ham,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
ham,Come to mahal bus stop.. &lt;DECIMAL&gt;
ham,K I'll be there before 4.
ham,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.
ham,Ü dun wan to watch infernal affair?
ham,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
ham,I am in bus on the way to calicut
ham,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! 
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693. 08715500022 rpl Stop 2 cnl
ham,"Alright, see you in a bit"
ham,"One of best dialogue in cute reltnship..!! ""Wen i Die, Dont Come Near My Body..!! Bcoz My Hands May Not Come 2 Wipe Ur Tears Off That Time..!Gud ni8"
ham,I sent them. Do you like?
ham,K...k...when will you give treat?
ham,I accidentally brought em home in the box
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
spam,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU
spam,85233 FREE>Ringtone!Reply REAL
ham,Que pases un buen tiempo or something like that
ham,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x
spam,Win a £1000 cash prize or a prize worth £5000
ham,Haf u found him? I feel so stupid da v cam was working.
ham,Just send a text. We'll skype later.
ham,Anytime lor...
ham,Actually I decided I was too hungry so I haven't left yet :V
ham,Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
ham,Was the farm open?
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
ham,Then mum's repent how?
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
ham,Ok lor... But buy wat?
ham,I know she called me
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
ham,"Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down"
spam,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p
ham,You busy or can I come by at some point and figure out what we're doing tomorrow
ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto  &lt;#&gt; .Call Ms.Suman  &lt;#&gt;  for Telephonic interview -via Indyarocks.com
ham,I need you to be in my strong arms...
ham,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng..."
ham,"Its ok, called mom instead have fun"
spam,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv
ham,Sir send to group mail check it.
ham,"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!"
ham,"Not yet chikku..k, then wat abt tht guy did he stopped irritating or msging to u.."
ham,"The guy (kadeem) hasn't been selling since the break, I know one other guy but he's paranoid as fuck and doesn't like selling without me there and I can't be up there til late tonight"
ham,I'm not. She lip synced with shangela.
ham,Does uncle timi help in clearing cars
ham,"Hey elaine, is today's meeting still on?"
ham,Big brother‘s really scraped the barrel with this shower of social misfits
spam,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 
ham,Come to my home for one last time i wont do anything. Trust me.
ham,"No my blankets are sufficient, thx"
ham,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.
ham,Lmao. Take a pic and send it to me.
ham,Just got to  &lt;#&gt;
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 
spam,Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*
ham,Wat's my dear doing? Sleeping ah?
ham,He is there. You call and meet him
ham,In that case I guess I'll see you at campus lodge
ham,Not..tel software name..
ham,"Omw back to tampa from west palm, you hear what happened?"
ham,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
spam,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.
ham,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay
ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
ham,Will ü b going to esplanade fr home?
ham,....photoshop makes my computer shut down.
ham,Ya just telling abt tht incident..
ham,I dun believe u. I thk u told him.
ham,Yup... From what i remb... I think should be can book... 
ham,DO U WANT 2 MEET UP 2MORRO
ham,Is ur lecture over?
ham,Not yet chikku..wat abt u?
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)"
ham,"Alright if you're sure, let me know when you're leaving"
spam,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.
ham,"Dear relieved of westonzoyland, all going to plan this end too!"
ham,"It's that time of the week again, ryan"
ham,Yes we are chatting too.
ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
ham,What does the dance river do?
ham,"Easy mate, * guess the quick drink was bit ambitious."
ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like"
ham,That was random saw my old roomate on campus. He graduated
spam,"Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck!"
ham,Nah dub but je still buff
ham,Hurry home. Soup is DONE!
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
ham,"Goodmorning, today i am late for 1hr."
ham,I want to go to perumbavoor
ham,"""CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO"""
spam,"accordingly. I repeat, just text the word ok on your mobile phone and send"
ham,"Yes but i dont care! I need you bad, princess!"
ham,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?"
ham,"And that's fine, I got enough bud to last most of the night at least"
ham,I'm still pretty weak today .. Bad day ?
ham,Dont talk to him ever ok its my word.
ham,Whatsup there. Dont u want to sleep
ham,Please da call me any mistake from my side sorry da. Pls da goto doctor.
ham,"Total disappointment, when I texted you was the craziest shit got :("
ham,Nope watching tv at home... Not going out. V bored...
ham,I cant wait to see you! How were the photos were useful? :)
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
ham,"Cool, what time you think you can get here?"
ham,", im .. On the snowboarding trip. I was wondering if your planning to get everyone together befor we go..a meet and greet kind of affair? Cheers, "
ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
ham,Hey morning what you come to ask:-) pa...
ham,Are you going to wipro interview today?
ham,And of course you should make a stink!
spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
ham,Send me your id and password
ham,Yar... I tot u knew dis would happen long ago already.
ham,Lol they don't know about my awesome phone. I could click delete right now if I want.
ham,Good night. Am going to sleep.
ham,How are you enjoying this semester? Take care brother.
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.
ham,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?"
ham,So how are you really. What are you up to. How's the masters. And so on.
ham,I love your ass! Do you enjoy doggy style? :)
ham,Babe ? I lost you ... :-(
ham,Good. Good job. I like entrepreneurs
ham,"… we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon """
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
ham,am up to my eyes in philosophy
ham,She doesnt need any test.
ham,Nothing just getting msgs by dis name wit different no's..
spam,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3
spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
ham,What is the plural of the noun research?
ham,Nt yet chikku..simple habba..hw abt u?
ham,yes baby! I need to stretch open your pussy!
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?"
spam,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
ham,Send to someone else :-)
ham,"Sorry,in meeting I'll call later"
ham,"Good! No, don‘t need any receipts—well done! (…) Yes, please tell . What‘s her number, i could ring her"
ham,"K so am I, how much for an 8th? Fifty?"
ham,Then cant get da laptop? My matric card wif ü lei... 
spam,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
ham,What's your room number again? Wanna make sure I'm knocking on the right door
ham,Tell me something. Thats okay.
ham,I went to ur hon lab but no one is there.
ham,The hair cream has not been shipped.
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
ham,At home also.
ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
ham,LOL that would be awesome payback.
ham,How many licks does it take to get to the center of a tootsie pop?
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
ham,I remain unconvinced that this isn't an elaborate test of my willpower
ham,"Sorry battery died, yeah I'm here"
ham,So what about you. What do you remember
ham,One small prestige problem now.
ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
ham,S:-)if we have one good partnership going we will take lead:)
spam,"TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468"
ham,Ok. C u then.
ham,Msg me when rajini comes.
ham,I thank you so much for all you do with selflessness. I love you plenty.
ham,Are you staying in town ?
ham,I can take you at like noon
ham,S:)no competition for him.
ham,Alright. I'm out--have a good night!
ham,I absolutely LOVE South Park! I only recently started watching the office.
ham,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
ham,"No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
ham,Yunny... I'm goin to be late
ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,If i not meeting ü all rite then i'll go home lor. If ü dun feel like comin it's ok.
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
ham,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up... "
ham,Sorry i missed your call. Can you please call back.
ham,Love that holiday Monday feeling even if I have to go to the dentists in an hour
ham,R u meeting da ge at nite tmr?
ham,Ya it came a while ago
